"","PROBEID","ACCNUM","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206456_at","206456_at","NM_000810","GABRA5","2558","gamma-aminobutyric acid type A receptor subunit alpha5",2.55562696723773,3.83306317150931,5.91486653267558,0.00208795481990181,0.99447233823876,-4.441648609364
"205101_at","205101_at","NM_000246","CIITA","4261","class II major histocompatibility complex transactivator",-2.09801712675969,4.06689121756216,-5.84919787609067,0.00219280324652687,0.99447233823876,-4.44219376085453
"213539_at","213539_at","NM_000732","CD3D","915","CD3d molecule",-1.61492566620657,5.92054086231902,-5.77434762905394,0.0023199783816565,0.99447233823876,-4.4428339433833
"210662_at","210662_at","BC000879","KYNU","8942","kynureninase",-2.93854403573741,2.39246523290358,-5.72109114166287,0.00241577483061431,0.99447233823876,-4.44330206718524
"211149_at","211149_at","AF000994","UTY","7404","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",-1.78127060709328,2.56713407535079,-5.70710167276905,0.00244170713039675,0.99447233823876,-4.44342682056647
"211336_x_at","211336_x_at","AF009007","LILRB1","10859","leukocyte immunoglobulin like receptor B1",-1.85085879792634,5.7032438983445,-5.70076429583949,0.00245356262863117,0.99447233823876,-4.44348358299194
"220593_s_at","220593_s_at","NM_017950","CCDC40","55036","coiled-coil domain containing 40",2.63031077423436,3.15735151530369,5.68507873989544,0.00248319893916394,0.99447233823876,-4.44362474379975
"212587_s_at","212587_s_at","AI809341","PTPRC","5788","protein tyrosine phosphatase receptor type C",-2.15962794852324,4.18084928365168,-5.66805725055964,0.00251583784040514,0.99447233823876,-4.44377901284048
"209832_s_at","209832_s_at","AF321125","CDT1","81620","chromatin licensing and DNA replication factor 1",-2.5193742275091,4.39358445076091,-5.65448383904389,0.00254222765805145,0.99447233823876,-4.44390284786292
"205792_at","205792_at","NM_003881","WISP2","8839",NA,1.78171227875989,5.26382040457971,5.64866080926422,0.00255364883749241,0.99447233823876,-4.44395619697149
"211084_x_at","211084_x_at","Z25429","PRKD3","23683","protein kinase D3",1.83940332059527,5.66109500685696,5.63227683298918,0.00258610979930109,0.99447233823876,-4.44410702758153
"211148_s_at","211148_s_at","AF187858","ANGPT2","285","angiopoietin 2",2.17760841822347,4.09564263586875,5.49783772953079,0.00287164942364837,0.99447233823876,-4.44538623487842
"220432_s_at","220432_s_at","NM_016593","CYP39A1","51302","cytochrome P450 family 39 subfamily A member 1",-1.56241650731617,3.20613967742368,-5.47434858164384,0.00292526828231436,0.99447233823876,-4.44561758644802
"209729_at","209729_at","BC001782","GAS2L1","10634","growth arrest specific 2 like 1",1.56998136595254,4.93361981081102,5.44158691817319,0.00300203360599866,0.99447233823876,-4.44594430251036
"210660_at","210660_at","AF025529","LILRA1","11024","leukocyte immunoglobulin like receptor A1",-1.54970295080145,3.99180041375553,-5.43196083162427,0.00302503763675715,0.99447233823876,-4.44604120338958
"203163_at","203163_at","NM_005886","KATNB1","10300","katanin regulatory subunit B1",-1.83481846082105,4.18255504506233,-5.43138935412987,0.00302640983729254,0.99447233823876,-4.446046969183
"216459_x_at","216459_x_at","AL137624","DDR1-AS1","414771",NA,2.57472974220605,3.63547438583716,5.41288763568911,0.00307123320279017,0.99447233823876,-4.4462344308264
"220192_x_at","220192_x_at","NM_012391","SPDEF","25803","SAM pointed domain containing ETS transcription factor",1.91361606001476,3.80892909629342,5.39325452103673,0.00311965380565064,0.99447233823876,-4.44643504982732
"207240_s_at","207240_s_at","NM_000233","LHCGR","3973","luteinizing hormone/choriogonadotropin receptor",-2.1081598867029,3.96711425773117,-5.34717621702061,0.00323686403248603,0.99447233823876,-4.44691285397955
"206507_at","206507_at","NM_014724","ZSCAN12","9753","zinc finger and SCAN domain containing 12",-1.54248759755915,4.4649849263126,-5.33003054440296,0.00328179380941248,0.99447233823876,-4.44709317354325
"203223_at","203223_at","NM_004703","RABEP1","9135","rabaptin, RAB GTPase binding effector protein 1",-2.06931107124276,4.652187291601,-5.32735402054045,0.00328887351172075,0.99447233823876,-4.447121447619
"216052_x_at","216052_x_at","AF115765","ARTN","9048","artemin",1.61341082043385,4.49805104532648,5.29085310559471,0.00338723631766773,0.99447233823876,-4.44751044628376
"206433_s_at","206433_s_at","BC000460","SPOCK3","50859","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3",-3.04724475612711,2.81381347044045,-5.27884618317883,0.00342034514379127,0.99447233823876,-4.44763981010251
"207203_s_at","207203_s_at","AF061056","NR1I2","8856","nuclear receptor subfamily 1 group I member 2",1.47510367615964,4.77096267961138,5.24617969040881,0.00351236390134177,0.99447233823876,-4.4479953316697
"214234_s_at","214234_s_at","X90579","CYP3A5","1577","cytochrome P450 family 3 subfamily A member 5",-2.81408146821274,5.13779998971743,-5.22950444818837,0.00356045598609632,0.99447233823876,-4.4481788500991
"216352_x_at","216352_x_at","AF152509","PCDHGA3","56112","protocadherin gamma subfamily A, 3",1.90861852939806,4.26769908824804,5.18041822103676,0.00370657437559362,0.99447233823876,-4.4487271997807
"218898_at","218898_at","NM_024792","FAM57A","79850",NA,-1.59952493283658,5.81434186050575,-5.15216759026193,0.00379385843222964,0.99447233823876,-4.44904839480806
"221026_s_at","221026_s_at","NM_031309","SCRT1","83482","scratch family transcriptional repressor 1",-1.69868505046824,3.67042542375032,-5.14974041661939,0.00380146937719929,0.99447233823876,-4.44907618433163
"213529_at","213529_at","AI350500","ZNF688","146542","zinc finger protein 688",1.44727484977725,4.39068561243748,5.14558628948553,0.00381453717362669,0.99447233823876,-4.44912381795298
"202540_s_at","202540_s_at","NM_000859","HMGCR","3156","3-hydroxy-3-methylglutaryl-CoA reductase",-1.58392484086668,4.77583214374111,-5.13866674543898,0.00383642142938189,0.99447233823876,-4.44920336270629
"220941_s_at","220941_s_at","NM_017447","C21orf91","54149","chromosome 21 open reading frame 91",1.85291170859233,5.15248044701822,5.12931862077659,0.00386622080901804,0.99447233823876,-4.44931122657527
"205635_at","205635_at","NM_003947","KALRN","8997","kalirin RhoGEF kinase",1.51287496586426,4.65560300660648,5.11862444970141,0.00390064458373935,0.99447233823876,-4.44943518988316
"202326_at","202326_at","NM_006709","EHMT2","10919","euchromatic histone lysine methyltransferase 2",1.87159700037461,4.16978909496056,5.11738124196388,0.0039046696577018,0.99447233823876,-4.44944964022386
"219651_at","219651_at","NM_018189","DPPA4","55211","developmental pluripotency associated 4",-1.66554695468492,3.40110116993439,-5.10164639340583,0.00395603692992292,0.99447233823876,-4.44963324766485
"220546_at","220546_at","NM_024891","KMT2A /// LOC101929115","4297 /// 101929115",NA,1.5036796425615,4.06181277054841,5.06320364229858,0.00408490414558633,0.99447233823876,-4.4500874588231
"215458_s_at","215458_s_at","AF199364","SMURF1","57154","SMAD specific E3 ubiquitin protein ligase 1",1.51721048094883,4.57318206377348,5.05238264334809,0.00412206138299537,0.99447233823876,-4.45021677019865
"208081_s_at","208081_s_at","NM_030824","ZNF442","79973","zinc finger protein 442",-1.54221213823884,4.87074206622336,-5.05143504562482,0.00412533407560355,0.99447233823876,-4.45022812482936
"211856_x_at","211856_x_at","AF222341","CD28","940","CD28 molecule",-1.68231993287935,4.51648174566511,-5.04760279426156,0.00413860051684773,0.99447233823876,-4.45027409568597
"203766_s_at","203766_s_at","NM_012134","LMOD1","25802","leiomodin 1",1.84648388309504,7.42778674063083,5.04357950446243,0.00415258212586858,0.99447233823876,-4.45032244588851
"220632_s_at","220632_s_at","NM_013382","POMT2","29954","protein O-mannosyltransferase 2",1.73743147665573,5.77019019706894,5.01305278057067,0.00426049003600515,0.99447233823876,-4.45069225082612
"211871_x_at","211871_x_at","AF300650","GNB5","10681","G protein subunit beta 5",1.57735410720099,4.79831224074154,4.95811945134081,0.00446306089149388,0.99447233823876,-4.45137106533001
"218686_s_at","218686_s_at","NM_022450","RHBDF1","64285","rhomboid 5 homolog 1",2.36186193057423,5.93024022228677,4.94985265397186,0.00449451222841539,0.99447233823876,-4.45147473032048
"211235_s_at","211235_s_at","AF258450","ESR1","2099","estrogen receptor 1",1.86855551434679,5.05686862906766,4.93826745226675,0.00453902626850643,0.99447233823876,-4.45162068276297
"206034_at","206034_at","NM_002640","SERPINB8","5271","serpin family B member 8",1.78016855678105,4.99611983367575,4.92203904142103,0.00460225180899898,0.99447233823876,-4.45182646487242
"205045_at","205045_at","NM_007202","AKAP10","11216","A-kinase anchoring protein 10",-2.03076796652897,3.87637318257819,-4.89554642671186,0.00470769529011219,0.99447233823876,-4.45216577965731
"210120_s_at","210120_s_at","BC004349","RANBP3","8498","RAN binding protein 3",1.41456396610959,5.96631309518043,4.85553372360268,0.00487235775863057,0.99447233823876,-4.45268632889532
"221843_s_at","221843_s_at","AA195017","TLDC1","57707",NA,1.46992184153653,4.46040603318154,4.82039453005764,0.00502254241327193,0.99447233823876,-4.45315164137728
"208378_x_at","208378_x_at","NM_004464","FGF5","2250","fibroblast growth factor 5",1.88371837973668,4.58771738471786,4.81450078750589,0.00504825902240343,0.99447233823876,-4.45323044562318
"216299_s_at","216299_s_at","AK022829","XRCC3","7517","X-ray repair cross complementing 3",1.95705267484391,3.38973207948663,4.81285362644341,0.0050554737044898,0.99447233823876,-4.4532525088621
"216970_at","216970_at","AF090117","","",NA,1.34211588082234,3.52487193510095,4.80896831197512,0.00507253945700612,0.99447233823876,-4.45330461970983
"206307_s_at","206307_s_at","NM_004472","FOXD1","2297","forkhead box D1",2.00224955699914,4.24147989045324,4.80628076162719,0.00508438358797964,0.99447233823876,-4.45334072196937
"208358_s_at","208358_s_at","NM_003360","UGT8","7368","UDP glycosyltransferase 8",-1.5658453738928,4.6378186555736,-4.79035866597277,0.0051552195461062,0.99447233823876,-4.45355555148214
"213663_s_at","213663_s_at","AI740515","FAM134B","54463",NA,-1.71782906332261,3.9380158464505,-4.76335138204128,0.00527802745527894,0.99447233823876,-4.45392368105554
"208112_x_at","208112_x_at","NM_006795","EHD1","10938","EH domain containing 1",1.78200986300095,5.8356341018267,4.75455431317937,0.00531876535805705,0.99447233823876,-4.45404461585848
"204244_s_at","204244_s_at","NM_006716","DBF4","10926","DBF4 zinc finger",-1.52344029349875,4.71285351265412,-4.75381236595267,0.0053222179699865,0.99447233823876,-4.45405483870721
"205642_at","205642_at","NM_007018","CNTRL","11064","centriolin",1.45822379388089,5.8156097735008,4.70028929447953,0.00557833546307888,0.99447233823876,-4.45480192720798
"218952_at","218952_at","NM_013271","PCSK1N","27344","proprotein convertase subtilisin/kexin type 1 inhibitor",1.48279936374291,5.72502998082096,4.6846315801568,0.00565596226879306,0.99447233823876,-4.4550241200783
"210170_at","210170_at","BC001017","PDLIM3","27295","PDZ and LIM domain 3",1.35584440815711,8.87787058857177,4.67510225482673,0.00570382329543326,0.99447233823876,-4.45516016570523
"205112_at","205112_at","NM_016341","PLCE1","51196","phospholipase C epsilon 1",1.72275239377799,4.84968589019636,4.6635344864803,0.00576255895197115,0.99447233823876,-4.45532615132638
"211226_at","211226_at","AF080586","GALR2","8811","galanin receptor 2",1.99332205818872,3.07341662837334,4.62876028028876,0.00594342206522566,0.99447233823876,-4.45583071972967
"220469_at","220469_at","NM_025088","COPE","11316","COPI coat complex subunit epsilon",1.40749916644074,3.41595262690506,4.60916210771831,0.00604826857341608,0.99447233823876,-4.45611883259591
"220331_at","220331_at","NM_006668","CYP46A1","10858","cytochrome P450 family 46 subfamily A member 1",1.44365312903206,5.99603913999388,4.6057672236522,0.00606664896597385,0.99447233823876,-4.45616901831022
"204579_at","204579_at","NM_002011","FGFR4","2264","fibroblast growth factor receptor 4",1.92289464861205,3.95090795288523,4.60030139894828,0.00609637875867819,0.99447233823876,-4.45624999133714
"214956_at","214956_at","AF090101","AAK1","22848","AP2 associated kinase 1",1.79728123471872,4.40653749729829,4.58256339032654,0.00619403637569296,0.99447233823876,-4.456514248481
"219031_s_at","219031_s_at","NM_016101","NIP7","51388","nucleolar pre-rRNA processing protein NIP7",-1.35718840640555,3.81448499820277,-4.57730445821372,0.00622333939868813,0.99447233823876,-4.45659303187215
"206003_at","206003_at","NM_014645","CEP135","9662","centrosomal protein 135",1.84193536546153,3.76662761861892,4.56083458105456,0.00631616126861238,0.99447233823876,-4.45684106776708
"205459_s_at","205459_s_at","NM_002518","NPAS2","4862","neuronal PAS domain protein 2",1.35182945785391,5.02731591241812,4.55931316193547,0.00632481689038032,0.99447233823876,-4.45686408038898
"204625_s_at","204625_s_at","BF115658","ITGB3","3690","integrin subunit beta 3",1.58663781121209,5.27902915362918,4.535578673502,0.00646165262531539,0.99447233823876,-4.45722529226891
"217556_at","217556_at","W26966","CLCN4","1183","chloride voltage-gated channel 4",1.43679747515199,4.75055748749169,4.53366454035631,0.00647283763566425,0.99447233823876,-4.45725460512388
"209552_at","209552_at","BC001060","PAX8","7849","paired box 8",-1.59459854101612,4.96229258486478,-4.52741102945287,0.00650953680985254,0.99447233823876,-4.45735056124215
"216059_at","216059_at","U02309","PAX3","5077","paired box 3",1.52685324641163,4.99414608308566,4.50332956887239,0.00665314258333225,0.99447233823876,-4.45772281660179
"205904_at","205904_at","NM_000247","MICA","100507436","MHC class I polypeptide-related sequence A",1.34710369196892,4.58190641306243,4.49269151749486,0.0067177535452192,0.99447233823876,-4.45788865819081
"206671_at","206671_at","NM_000541","SAG","6295","S-antigen visual arrestin",1.27769150217906,5.36862014597226,4.46468670243147,0.00689136568007526,0.99447233823876,-4.45832938086721
"211273_s_at","211273_s_at","AF012130","TBX1","6899","T-box transcription factor 1",1.51917654417191,5.05477694067253,4.46425902247141,0.00689405723092675,0.99447233823876,-4.45833615833265
"211269_s_at","211269_s_at","K03122","IL2RA","3559","interleukin 2 receptor subunit alpha",1.63901984224037,5.66054421115427,4.43423010089556,0.00708613592764351,0.99447233823876,-4.45881559566286
"210143_at","210143_at","AF196478","ANXA10","11199","annexin A10",-1.88313406033873,4.30468916583215,-4.43133609863358,0.00710497409299515,0.99447233823876,-4.45886217494056
"218746_at","218746_at","NM_018009","TAPBPL","55080","TAP binding protein like",1.34361242175814,5.179520798082,4.41484846350353,0.00721341636524293,0.99447233823876,-4.45912881183009
"216632_at","216632_at","AL080104","NAV3","89795","neuron navigator 3",-1.96420848892737,3.25367882100807,-4.40398675991963,0.00728590778949614,0.99447233823876,-4.45930565092075
"213049_at","213049_at","BG436400","RALGAPA1","253959","Ral GTPase activating protein catalytic subunit alpha 1",-1.34326245285139,7.97111155740168,-4.39992391363219,0.00731324083136451,0.99447233823876,-4.45937204123644
"210359_at","210359_at","AF116674","MTSS1","9788","MTSS I-BAR domain containing 1",-1.32973686418915,4.1218313671571,-4.3869341794862,0.00740143338372368,0.99447233823876,-4.45958519773948
"212617_at","212617_at","AB002293","ZNF609","23060","zinc finger protein 609",1.3738604374845,5.53608962807617,4.36737083271052,0.00753660085933905,0.99447233823876,-4.45990881140554
"213197_at","213197_at","AB006627","ASTN1","460","astrotactin 1",1.35088153065695,3.50611072327753,4.36450087240919,0.00755667042462954,0.99447233823876,-4.45995654912465
"207653_at","207653_at","NM_004474","FOXD2","2306","forkhead box D2",1.44687370030177,4.87313087612195,4.35816841184912,0.00760117328171037,0.99447233823876,-4.46006212028038
"205024_s_at","205024_s_at","NM_002875","RAD51","5888","RAD51 recombinase",-1.53561473987085,4.75315590590248,-4.35600828230011,0.00761642371135413,0.99447233823876,-4.46009820833483
"212715_s_at","212715_s_at","AB020626","MICAL3","57553","microtubule associated monooxygenase, calponin and LIM domain containing 3",1.25223358135259,5.21095820076024,4.34827294157636,0.00767132727624649,0.99447233823876,-4.46022775475141
"211419_s_at","211419_s_at","L29126","CHN2","1124","chimerin 2",1.24752186106447,3.64863633795886,4.3473626401628,0.00767781856580128,0.99447233823876,-4.46024303249106
"206007_at","206007_at","NM_005807","PRG4","10216","proteoglycan 4",-1.3507467896353,4.38293584958906,-4.3470903330704,0.00767976160665006,0.99447233823876,-4.46024760400275
"201888_s_at","201888_s_at","U81379","IL13RA1","3597","interleukin 13 receptor subunit alpha 1",-2.18649703835321,5.09075184304684,-4.3367320115563,0.00775409911057825,0.99447233823876,-4.46042195832562
"215894_at","215894_at","AI460323","PTGDR","5729","prostaglandin D2 receptor",2.02543351556278,3.62458397652548,4.32442326846096,0.0078435233273821,0.99447233823876,-4.46063030847489
"219637_at","219637_at","NM_025139","ARMC9","80210","armadillo repeat containing 9",1.42826163252546,4.53767425819898,4.32046093612114,0.007872564507549,0.99447233823876,-4.4606976496656
"218995_s_at","218995_s_at","NM_001955","EDN1","1906","endothelin 1",1.42618061265945,4.99258078249045,4.31371139799147,0.00792232202163933,0.99447233823876,-4.46081266538124
"219803_at","219803_at","NM_014495","ANGPTL3","27329","angiopoietin like 3",1.58006357702199,3.72860458949267,4.29777410570444,0.00804126764713675,0.99447233823876,-4.46108577854564
"212349_at","212349_at","AL045513","POFUT1","23509","protein O-fucosyltransferase 1",1.24358544590222,4.25523106411696,4.29380733080393,0.00807119451769954,0.99447233823876,-4.46115409266372
"205230_at","205230_at","NM_014954","RPH3A","22895","rabphilin 3A",-1.46189788548473,5.301756755359,-4.28558801817824,0.00813361662153715,0.99447233823876,-4.46129607145633
"205657_at","205657_at","NM_012205","HAAO","23498","3-hydroxyanthranilate 3,4-dioxygenase",1.58711787304699,5.45024785435249,4.25707019418866,0.00835458372013756,0.99447233823876,-4.46179320842155
"219845_at","219845_at","NM_021570","BARX1","56033","BARX homeobox 1",1.26148566387412,4.65589475435222,4.24816622025733,0.00842499654228938,0.99447233823876,-4.4619498790991
"211562_s_at","211562_s_at","BC001755","LMOD1","25802","leiomodin 1",1.46413924241109,3.75918517056997,4.23798274712437,0.0085063731352163,0.99447233823876,-4.46212991829113
"203372_s_at","203372_s_at","AB004903","SOCS2","8835","suppressor of cytokine signaling 2",1.26226093138908,4.21418850101109,4.2190378532562,0.00866020065660192,0.99447233823876,-4.46246730065669
"222074_at","222074_at","AW614435","UROD","7389","uroporphyrinogen decarboxylase",1.86597019153283,3.45150641443302,4.21740849060873,0.00867358063503469,0.99447233823876,-4.46249646678332
"205725_at","205725_at","NM_003357","SCGB1A1","7356","secretoglobin family 1A member 1",1.40402697477016,5.49181505183151,4.20749108562516,0.00875553905036589,0.99447233823876,-4.46267450506796
"221439_at","221439_at","NM_006606","RBBP9","10741","RB binding protein 9, serine hydrolase",1.17272856572386,3.59915070051029,4.19341202203051,0.0088734366750736,0.99447233823876,-4.46292877632639
"204932_at","204932_at","BF433902","TNFRSF11B","4982","TNF receptor superfamily member 11b",-2.62195379986094,2.70514086359459,-4.1916355300278,0.00888844330161693,0.99447233823876,-4.4629609877627
"218890_x_at","218890_x_at","NM_016622","MRPL35","51318","mitochondrial ribosomal protein L35",-1.18224282788207,7.95689901035497,-4.18811389598926,0.00891827875975201,0.99447233823876,-4.4630249270136
"214830_at","214830_at","AI537540","SLC38A6","145389","solute carrier family 38 member 6",1.32841843595696,3.84915899097812,4.17189252002972,0.00905721421774981,0.99447233823876,-4.46332090639396
"205205_at","205205_at","NM_006509","RELB","5971","RELB proto-oncogene, NF-kB subunit",1.20018349285881,5.32915161269909,4.15355072637577,0.0092173417477187,0.99447233823876,-4.46365849081085
"218602_s_at","218602_s_at","NM_017645","HAUS6","54801","HAUS augmin like complex subunit 6",-2.93976292044173,0.928625465328389,-4.14603968626703,0.00928385924874881,0.99447233823876,-4.46379763330796
"205909_at","205909_at","NM_002692","POLE2","5427","DNA polymerase epsilon 2, accessory subunit",1.53626607536894,5.04519609710697,4.13808595204185,0.00935490401916823,0.99447233823876,-4.46394555076369
"218516_s_at","218516_s_at","NM_017813","IMPAD1","54928",NA,-1.58584404593293,5.25963351642109,-4.13499897761433,0.00938264708695231,0.99447233823876,-4.46400311957493
"206432_at","206432_at","NM_005328","HAS2","3037","hyaluronan synthase 2",1.21827423176907,4.19134130884994,4.13106965990672,0.00941809831568961,0.99447233823876,-4.46407652669417
"210727_at","210727_at","M26095","CALCA","796","calcitonin related polypeptide alpha",-1.49111978988255,5.03139861391275,-4.1306588766058,0.00942181344479213,0.99447233823876,-4.46408420929284
"212286_at","212286_at","AW572909","ANKRD12","23253","ankyrin repeat domain 12",1.93697477939188,5.88265373657226,4.13041511678995,0.00942401881357496,0.99447233823876,-4.46408876891687
"221831_at","221831_at","AV741657","LUZP1","7798","leucine zipper protein 1",-1.2482272641696,5.38902475135354,-4.12945119752998,0.00943274553870013,0.99447233823876,-4.46410680489126
"209035_at","209035_at","M69148","MDK","4192","midkine",2.02912272647262,3.93117578210422,4.12534256243397,0.00947004763777855,0.99447233823876,-4.46418378016177
"218569_s_at","218569_s_at","NM_018095","KBTBD4","55709","kelch repeat and BTB domain containing 4",1.32096449698816,4.44519963387297,4.12157322752397,0.00950441950719965,0.99447233823876,-4.46425453887547
"219775_s_at","219775_s_at","NM_024695","CPLX3","594855","complexin 3",-1.38361952700843,3.80572407649249,-4.11920960297196,0.00952604662829911,0.99447233823876,-4.46429897790372
"204684_at","204684_at","NM_002522","NPTX1","4884","neuronal pentraxin 1",1.29017811099899,5.28616462390431,4.1181001440152,0.00953621779751014,0.99447233823876,-4.46431985534545
"204799_at","204799_at","NM_014838","ZBED4","9889","zinc finger BED-type containing 4",-1.7274498469053,4.64927751959227,-4.1069297370407,0.00963932800228622,0.99447233823876,-4.46453070829249
"205375_at","205375_at","NM_005586","MDFI","4188","MyoD family inhibitor",-1.39446414858733,4.42650901209388,-4.09952363472339,0.00970840254191473,0.99447233823876,-4.46467116236647
"216272_x_at","216272_x_at","AF209931","SYDE1","85360","synapse defective Rho GTPase homolog 1",1.20972915405457,5.60295290208154,4.08748730684209,0.00982188731563925,0.99447233823876,-4.46490054989577
"220441_at","220441_at","NM_024902","DNAJC22","79962","DnaJ heat shock protein family (Hsp40) member C22",1.38682358935699,5.66309529840613,4.08072997992363,0.00988627125953867,0.99447233823876,-4.46502994303929
"207711_at","207711_at","NM_015377","SOGA1","140710","suppressor of glucose, autophagy associated 1",1.2191519927967,3.71890803511577,4.06640099471247,0.0100244200179767,0.99447233823876,-4.46530578912939
"210009_s_at","210009_s_at","AF229796","GOSR2","9570","golgi SNAP receptor complex member 2",-1.71507281140296,3.89865424889417,-4.05074129235174,0.0101779584149914,0.99447233823876,-4.46560954835439
"210786_s_at","210786_s_at","M93255","FLI1","2313","Fli-1 proto-oncogene, ETS transcription factor",-1.34063250384169,4.39328185625857,-4.04695990530685,0.0102154401408349,0.99447233823876,-4.4656832595553
"214196_s_at","214196_s_at","AA602532","TPP1","1200","tripeptidyl peptidase 1",2.47210827638122,4.10214285960032,4.03937388828346,0.0102911161508455,0.99447233823876,-4.46583156154539
"209877_at","209877_at","AF010126","SNCG","6623","synuclein gamma",2.18058887723934,3.77805001615756,4.03296535279351,0.0103555511505968,0.99447233823876,-4.46595728959682
"217395_at","217395_at","X55503","MT4","84560","metallothionein 4",1.7208021315041,4.74081003092835,4.02769980486507,0.0104088430041027,0.99447233823876,-4.46606089976854
"210327_s_at","210327_s_at","D13368","AGXT","189","alanine--glyoxylate and serine--pyruvate aminotransferase",-1.26013060321622,3.48499314085416,-4.01810507829904,0.0105067668286773,0.99447233823876,-4.46625040835763
"215561_s_at","215561_s_at","AK026803","IL1R1","3554","interleukin 1 receptor type 1",1.68748902561442,2.71283166206453,4.01589592054501,0.0105294639957068,0.99447233823876,-4.46629417302103
