"","PROBEID","ACCNUM","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"212587_s_at","212587_s_at","AI809341","PTPRC","5788","protein tyrosine phosphatase receptor type C",-2.84557135442384,4.77960655151908,-4.97889980032446,0.00305478370549308,0.823569047915534,-4.30445340607382
"210009_s_at","210009_s_at","AF229796","GOSR2","9570","golgi SNAP receptor complex member 2",2.06734649330765,4.21655299811909,4.97225413248686,0.00307399667506711,0.823569047915534,-4.30463960955936
"200661_at","200661_at","NM_000308","CTSA","5476","cathepsin A",-2.16647916045091,5.75738914302575,-4.95865678925566,0.00311374039893924,0.823569047915534,-4.30502231648691
"200836_s_at","200836_s_at","NM_002375","MAP4","4134","microtubule associated protein 4",1.76316118675858,5.80367208639529,4.95491205039708,0.00312478908628358,0.823569047915534,-4.30512812380059
"217549_at","217549_at","AW574933","NCKAP1L","3071","NCK associated protein 1 like",1.84207272972811,4.57026378355822,4.90680861778288,0.0032707851589809,0.823569047915534,-4.30650317333612
"216937_s_at","216937_s_at","AL049684","RS1","6247","retinoschisin 1",2.00392926644015,5.29728946279949,4.87483617255141,0.00337214455929349,0.823569047915534,-4.30743367211455
"211299_s_at","211299_s_at","BC003683","FLOT2","2319","flotillin 2",2.23944369252983,4.61268626101373,4.83606853741378,0.0034999041960836,0.823569047915534,-4.3085800481782
"205655_at","205655_at","NM_002393","MDM4","4194","MDM4 regulator of p53",2.34887679595606,3.6697940183745,4.80596961358451,0.00360292202864786,0.823569047915534,-4.30948402773712
"216779_at","216779_at","Z22780","CYLC1","1538","cylicin 1",1.78787008810682,5.7092606694412,4.773917610947,0.00371645676813011,0.823569047915534,-4.31046030687165
"215235_at","215235_at","AL110273","SPTAN1","6709","spectrin alpha, non-erythrocytic 1",-1.70167702868133,6.04290165186444,-4.77052288864394,0.00372871935814097,0.823569047915534,-4.31056454119919
"213570_at","213570_at","BF516289","EIF4E2","9470","eukaryotic translation initiation factor 4E family member 2",1.92899029485489,5.13863818613166,4.75751252260629,0.00377614633120815,0.823569047915534,-4.31096551375188
"220016_at","220016_at","NM_024060","AHNAK","79026","AHNAK nucleoprotein",-2.26742309786636,4.2927250160577,-4.75316956517905,0.00379213104144715,0.823569047915534,-4.31109989004556
"208051_s_at","208051_s_at","NM_006451","PAIP1","10605","poly(A) binding protein interacting protein 1",2.18628279667488,3.3103708908052,4.75159494972584,0.00379794567238227,0.823569047915534,-4.31114867611308
"213146_at","213146_at","AA521267","KDM6B","23135","lysine demethylase 6B",-1.7940994749325,5.36086827232411,-4.71624275705475,0.00393121300841481,0.823569047915534,-4.31225324403236
"216009_at","216009_at","U92027","SLC39A9","55334","solute carrier family 39 member 9",2.12878777009193,4.67169048698062,4.71549138224518,0.00393410290543142,0.823569047915534,-4.31227691414631
"213746_s_at","213746_s_at","AW051856","FLNA","2316","filamin A",-1.82230649764467,3.59258139773659,-4.6922861547497,0.0040245598802098,0.823569047915534,-4.31301194535308
"218475_at","218475_at","NM_022727","TRMT2A","27037","tRNA methyltransferase 2 homolog A",-1.77229725775702,5.87485820397707,-4.65975391860482,0.00415540313186408,0.823569047915534,-4.31405562676915
"204129_at","204129_at","NM_004326","BCL9","607","BCL9 transcription coactivator",1.70738102521009,5.58967851656062,4.65952337377393,0.00415634754842509,0.823569047915534,-4.3140630785834
"221920_s_at","221920_s_at","BE677761","SLC25A37","51312","solute carrier family 25 member 37",-2.10395710871319,4.67222178171927,-4.63947506404867,0.00423941957360044,0.823569047915534,-4.31471411370848
"219651_at","219651_at","NM_018189","DPPA4","55211","developmental pluripotency associated 4",2.46689172482205,4.28802364043087,4.6296773962325,0.00428070544223612,0.823569047915534,-4.31503446118494
"216404_at","216404_at","AF126749","ATXN8OS","6315","ATXN8 opposite strand lncRNA",1.85340666589377,5.76957272011027,4.62732075224322,0.00429070431431254,0.823569047915534,-4.31511172995345
"219945_at","219945_at","NM_013264","DDX25","29118","DEAD-box helicase 25",1.83191308930478,3.98902819421683,4.61241784106393,0.0043545556915699,0.823569047915534,-4.31560230323526
"218355_at","218355_at","NM_012310","KIF4A","24137","kinesin family member 4A",1.8688632415424,5.41277324111863,4.58638217742339,0.0044687243696444,0.823569047915534,-4.31646745448676
"220102_at","220102_at","NM_023067","FOXL2","668","forkhead box L2",1.82930419821938,4.40983495839239,4.5858307512359,0.00447117908015802,0.823569047915534,-4.31648589047599
"204149_s_at","204149_s_at","NM_000850","GSTM4","2948","glutathione S-transferase mu 4",-1.77072942088093,3.03452275245642,-4.54147053101994,0.00467378444048071,0.823569047915534,-4.31798446651039
"216507_at","216507_at","AF189251","TAPT1","202018","transmembrane anterior posterior transformation 1",1.61694560282892,5.42899769637846,4.53397002218019,0.00470906591659001,0.823569047915534,-4.31824089703478
"215725_at","215725_at","L77561","DGCR11","25786","DiGeorge syndrome critical region gene 11",1.62489627721254,5.33450477892215,4.4882906912357,0.00493060408576558,0.823569047915534,-4.31982197392714
"217141_at","217141_at","AL049394","BTBD7","55727","BTB domain containing 7",1.58296562387551,3.92761711074718,4.48225364591859,0.00496076170838095,0.823569047915534,-4.32003344766657
"203372_s_at","203372_s_at","AB004903","SOCS2","8835","suppressor of cytokine signaling 2",2.45238652974432,4.0205872635063,4.46781112426269,0.00503376450058227,0.823569047915534,-4.320541771916
"205764_at","205764_at","NM_002932","CSNK1A1","1452","casein kinase 1 alpha 1",1.65353871371472,3.24725968281356,4.44932346669019,0.00512900620915874,0.823569047915534,-4.32119746996434
"207112_s_at","207112_s_at","NM_002039","GAB1","2549","GRB2 associated binding protein 1",1.68790274527394,4.48534390518407,4.42818387409644,0.00524043298005977,0.823569047915534,-4.32195416995058
"220639_at","220639_at","NM_024795","TM4SF20","79853","transmembrane 4 L six family member 20",2.02705548446964,4.79894237997411,4.40597024606011,0.0053604995152627,0.823569047915534,-4.32275738957722
"215188_at","215188_at","AF339785","STK24","8428","serine/threonine kinase 24",1.90856918141589,3.97123541752176,4.3875343989939,0.00546252681741774,0.823569047915534,-4.32343036159727
"208925_at","208925_at","AF161522","CLDND1","56650","claudin domain containing 1",2.53341626237735,5.25963039941202,4.38216212344585,0.00549267225115796,0.823569047915534,-4.32362756134238
"213661_at","213661_at","AI671186","PAMR1","25891","peptidase domain containing associated with muscle regeneration 1",1.95394868794123,5.15525090971625,4.38072086054854,0.00550079176005433,0.823569047915534,-4.32368054998678
"220003_at","220003_at","NM_018296","LRRC36","55282","leucine rich repeat containing 36",2.03811593084777,4.3561104605644,4.37923612049263,0.00550917047808088,0.823569047915534,-4.32373517443969
"215682_at","215682_at","AB051440","LOC440792","440792","proline dehydrogenase 1 pseudogene",1.82529003165124,4.12256754588709,4.37891364042168,0.00551099222255444,0.823569047915534,-4.32374704368333
"214478_at","214478_at","NM_006944","SPP2","6694","secreted phosphoprotein 2",1.5484500980548,6.40932101625776,4.37747291858649,0.00551913947486877,0.823569047915534,-4.32380009294584
"206497_at","206497_at","NM_018224","COA1","55744","cytochrome c oxidase assembly factor 1 homolog",-2.00408488300321,3.16261488533909,-4.35390131910555,0.00565440058451763,0.823569047915534,-4.32467312805134
"207531_at","207531_at","NM_020989","CRYGC","1420","crystallin gamma C",-1.54337912569043,4.73390547693812,-4.35112123147456,0.00567060059368916,0.823569047915534,-4.3247767323874
"215735_s_at","215735_s_at","AC005600","TSC2","7249","TSC complex subunit 2",-1.66399255008213,4.57153665506186,-4.33434935393297,0.00576945936982658,0.823569047915534,-4.32540463425846
"207322_at","207322_at","NM_003024","ITSN1","6453","intersectin 1",1.84098452853663,5.0362695825308,4.3301564706622,0.00579447861197939,0.823569047915534,-4.32556237948832
"221805_at","221805_at","AL537457","NEFL","4747","neurofilament light",1.67808088678972,4.80444640027459,4.32724079211583,0.00581194935314059,0.823569047915534,-4.32567225658133
"220803_at","220803_at","NM_017597","BC069782 /// STAMBPL1","57559",NA,1.95390002060824,3.56124580062863,4.32125180612439,0.00584802340311232,0.823569047915534,-4.32589842305495
"215430_at","215430_at","AA757089","GK2","2712","glycerol kinase 2",2.16902696718393,5.27914686756631,4.3203942220378,0.00585320976608511,0.823569047915534,-4.32593086069485
"214443_at","214443_at","NM_006505","PVR","5817","PVR cell adhesion molecule",1.56093058624704,4.78689879029718,4.30228218550749,0.00596397483034227,0.823569047915534,-4.32661899843044
"201902_s_at","201902_s_at","BG390664","YY1","7528","YY1 transcription factor",1.59868993875241,3.9086773779995,4.30221368777109,0.00596439822654709,0.823569047915534,-4.32662161202087
"221625_at","221625_at","AL136548","","",NA,2.13370044539969,4.73231556971071,4.30091793633941,0.00597241392185419,0.823569047915534,-4.32667106839045
"214991_s_at","214991_s_at","AC004472","PIGO","84720","phosphatidylinositol glycan anchor biosynthesis class O",1.71854274163516,3.26873368957701,4.28319826662413,0.00608326691395761,0.823569047915534,-4.32735042634539
"216084_at","216084_at","AL080137","FAM205B","389715",NA,1.65981113697656,3.98331748737854,4.28127519098432,0.00609543744853477,0.823569047915534,-4.3274244966851
"220321_s_at","220321_s_at","NM_024584","CCDC121","79635","coiled-coil domain containing 121",2.12702222863742,4.2958526224704,4.27553274420925,0.0061319444141276,0.823569047915534,-4.32764607557192
"216327_s_at","216327_s_at","AF287892","SIGLEC8","27181","sialic acid binding Ig like lectin 8",-1.6616440580926,3.96890304119507,-4.27458518912593,0.00613799221836512,0.823569047915534,-4.32768269566813
"206618_at","206618_at","NM_003855","IL18R1","8809","interleukin 18 receptor 1",1.59941535960723,3.91705930878409,4.27015196757114,0.0061663775146,0.823569047915534,-4.32785424324546
"204622_x_at","204622_x_at","NM_006186","NR4A2","4929","nuclear receptor subfamily 4 group A member 2",2.14459238548221,5.25126783705136,4.26776155459568,0.00618174481297125,0.823569047915534,-4.32794689117257
"214000_s_at","214000_s_at","AI744627","RGS10","6001","regulator of G protein signaling 10",1.50235548087256,3.47520287628828,4.25588181109047,0.00625876412502101,0.823569047915534,-4.32840887839099
"206073_at","206073_at","AF057036","COLQ","8292","collagen like tail subunit of asymmetric acetylcholinesterase",1.96060231249381,4.98648813516981,4.2438529769434,0.00633786159297513,0.823569047915534,-4.32887930639057
"218585_s_at","218585_s_at","NM_016448","DTL","51514","denticleless E3 ubiquitin protein ligase homolog",2.4821882692045,3.70158576910968,4.23857277157952,0.00637294017584657,0.823569047915534,-4.32908665080637
"201171_at","201171_at","NM_003945","ATP6V0E1","8992","ATPase H+ transporting V0 subunit e1",-1.59650478374709,3.26092726680516,-4.23149709786009,0.00642029269153661,0.823569047915534,-4.3293653111813
"219858_s_at","219858_s_at","NM_017694","MFSD6","54842","major facilitator superfamily domain containing 6",2.50237748318022,2.97997086130293,4.21824312451556,0.00651007029216965,0.823569047915534,-4.32988980181516
"207538_at","207538_at","NM_000589","IL4","3565","interleukin 4",-1.69424380933771,3.34866161812783,-4.21776954672406,0.00651330438438851,0.823569047915534,-4.32990860320092
"206654_s_at","206654_s_at","NM_006467","POLR3G","10622","RNA polymerase III subunit G",1.58915164341879,4.42404379078676,4.21268142166009,0.00654816670786451,0.823569047915534,-4.33011087107349
"204157_s_at","204157_s_at","NM_025164","SIK3","23387","SIK family kinase 3",-1.6451490452099,5.04973831884394,-4.1992136292545,0.00664146989764695,0.823569047915534,-4.3306486084739
"212125_at","212125_at","NM_002883","RANGAP1","5905","Ran GTPase activating protein 1",1.60129453639756,5.42892970562553,4.18319602842122,0.00675440622111725,0.823569047915534,-4.33129262818844
"220441_at","220441_at","NM_024902","DNAJC22","79962","DnaJ heat shock protein family (Hsp40) member C22",1.82722848652591,5.12476715797421,4.1733452959845,0.0068249419375354,0.823569047915534,-4.33169112760709
"214648_at","214648_at","AI207120","GPX5","2880","glutathione peroxidase 5",1.54181406760223,4.84901452679023,4.17112138295477,0.00684098144144998,0.823569047915534,-4.33178135075583
"215199_at","215199_at","AU147402","CALD1","800","caldesmon 1",1.53604834388297,4.77940318900459,4.1639944051337,0.0068926717857334,0.823569047915534,-4.33207113012985
"221640_s_at","221640_s_at","AF274972","PIDD1","55367","p53-induced death domain protein 1",1.99410601750223,4.59129427315084,4.1637453166759,0.00689448635531825,0.823569047915534,-4.33208127564696
"205921_s_at","205921_s_at","U16120","SLC6A6","6533","solute carrier family 6 member 6",1.52546090986583,3.58602581682009,4.1592661925621,0.00692720861443985,0.823569047915534,-4.33226391746715
"220000_at","220000_at","NM_003830","SIGLEC5","8778","sialic acid binding Ig like lectin 5",-1.50485521548772,6.0870419353696,-4.15498991896986,0.00695861322620068,0.823569047915534,-4.3324386499132
"207794_at","207794_at","NM_000648","CCR2","729230","C-C motif chemokine receptor 2",2.5250878664274,5.42985107758631,4.14388151600768,0.00704094890142094,0.823569047915534,-4.3328942080521
"210955_at","210955_at","U86214","CASP10","843","caspase 10",2.22087399785864,6.15734220115473,4.13482734855532,0.00710887534888506,0.823569047915534,-4.33326730092854
"213789_at","213789_at","N58493","EBP","10682","EBP cholestenol delta-isomerase",-1.62975653251748,4.42803669003369,-4.11764591538023,0.00723982479360402,0.823569047915534,-4.33397971470285
"37892_at","37892_at","J04177","COL11A1","1301","collagen type XI alpha 1 chain",1.7281830958161,3.68146780874283,4.10827429306534,0.00731240110312509,0.823569047915534,-4.33437075802171
"210755_at","210755_at","U46010","HGF","3082","hepatocyte growth factor",1.49007900776287,5.2913870334295,4.10441097800605,0.00734255909098926,0.823569047915534,-4.33453246745345
"206355_at","206355_at","R20102","GNAL","2774","G protein subunit alpha L",1.59662086198941,5.39451506802774,4.0955753168861,0.00741206307618373,0.823569047915534,-4.33490342580714
"205586_x_at","205586_x_at","NM_003378","VGF","7425","VGF nerve growth factor inducible",1.62841140194192,6.40128208954193,4.08928235784754,0.00746201944511399,0.823569047915534,-4.33516858258096
"214997_at","214997_at","AW675473","SCAI","286205","suppressor of cancer cell invasion",-2.20610667519702,3.78768156751469,-4.08841948587371,0.00746889897216287,0.823569047915534,-4.33520500199778
"214901_at","214901_at","AI671579","ZNF8","7554","zinc finger protein 8",1.51310914801531,6.72906542531765,4.08528561422315,0.0074939452170965,0.823569047915534,-4.33533739976729
"215155_at","215155_at","J04178","HEXA","3073","hexosaminidase subunit alpha",-1.89244872355076,4.35305649895531,-4.07714858837373,0.00755942212301258,0.823569047915534,-4.33568209059758
"214500_at","214500_at","AF044286","H2AFY","9555",NA,-2.54600669445457,4.10699396497684,-4.07551555960714,0.00757264059933352,0.823569047915534,-4.33575142792808
"214350_at","214350_at","AI762021","SNTB2","6645","syntrophin beta 2",1.81036303745348,4.4971990035296,4.07020283888167,0.00761582542131914,0.823569047915534,-4.33597737578705
"202152_x_at","202152_x_at","NM_003367","USF2","7392","upstream transcription factor 2, c-fos interacting",-1.67730926600836,6.8394561660794,-4.05093029173776,0.00777483829078251,0.823569047915534,-4.33680184371738
"212559_at","212559_at","AU148827","PRKAR1B","5575","protein kinase cAMP-dependent type I regulatory subunit beta",1.79672754838884,5.81052734521821,4.04872426448533,0.0077932779431988,0.823569047915534,-4.33689669992114
"204384_at","204384_at","NM_004486","GOLGA2","2801","golgin A2",-1.60031310591934,3.6729008940327,-4.04254613781677,0.00784518313525817,0.823569047915534,-4.33716288238041
"203572_s_at","203572_s_at","NM_005641","TAF6","6878","TATA-box binding protein associated factor 6",-1.92245923203193,6.55115690169525,-4.04141152921463,0.00785475790840683,0.823569047915534,-4.3372118518504
"220394_at","220394_at","NM_019851","FGF20","26281","fibroblast growth factor 20",1.47694290870502,3.9082163951695,4.03829541251959,0.00788112233652799,0.823569047915534,-4.33734647913744
"218075_at","218075_at","NM_015665","AAAS","8086","aladin WD repeat nucleoporin",-1.45426107801141,5.54401958573414,-4.03245967063665,0.00793076615851703,0.823569047915534,-4.3375991425465
"211516_at","211516_at","M96651","IL5RA","3568","interleukin 5 receptor subunit alpha",1.65079124193915,5.55770858178477,4.02555026312867,0.007990001100625,0.823569047915534,-4.33789920176688
"214301_s_at","214301_s_at","AI857455","DPYSL4","10570","dihydropyrimidinase like 4",-1.46601840517849,4.98132400976222,-4.01429519325513,0.00808756558101333,0.823569047915534,-4.33839010557779
"218406_x_at","218406_x_at","AF173937","NENF","29937","neudesin neurotrophic factor",2.45642600698078,6.17343840777092,4.01180891640705,0.00810929895786242,0.823569047915534,-4.33849890363489
"211510_s_at","211510_s_at","AF019381","CRHR2","1395","corticotropin releasing hormone receptor 2",1.66200707488048,3.49979925431216,4.0109808133331,0.00811655232775913,0.823569047915534,-4.33853516962616
"217425_at","217425_at","Y10259","MC2R","4158","melanocortin 2 receptor",2.27386927692932,4.4460998808926,4.0096959876522,0.0081278206537004,0.823569047915534,-4.33859146573549
"200894_s_at","200894_s_at","AA894574","FKBP4","2288","FKBP prolyl isomerase 4",1.95430865351527,5.53296461172023,4.00671437147772,0.00815403853422881,0.823569047915534,-4.33872224178177
"217088_s_at","217088_s_at","AJ006121","NCR1","9437","natural cytotoxicity triggering receptor 1",1.73516955355582,4.04649238821944,4.00617419557797,0.00815879861309507,0.823569047915534,-4.33874595424853
"207197_at","207197_at","NM_003413","ZIC3","7547","Zic family member 3",1.67354566860645,4.73194319426222,3.99824432325045,0.00822903991637017,0.823569047915534,-4.33909476206317
"207199_at","207199_at","NM_003219","TERT","7015","telomerase reverse transcriptase",1.51592478488463,4.17741642246019,3.99617130414519,0.00824751478505835,0.823569047915534,-4.33918616504952
"210173_at","210173_at","D37781","PTPRJ","5795","protein tyrosine phosphatase receptor type J",-1.88686417054012,3.67777748790762,-3.98784662705664,0.00832217809399919,0.823569047915534,-4.33955412731012
