"","PROBEID","ACCNUM","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GI_6912301-S","GI_6912301-S","NM_012075","8131","NPRL3","NPR3 like, GATOR1 complex subunit",-0.459864223561308,9.68691041317965,-8.14098638810047,4.87117798109519e-07,0.000462336311527328,6.55236655879865
"GI_18699719-S","GI_18699719-S","NM_015316","23368","PPP1R13B","protein phosphatase 1 regulatory subunit 13B",-0.439040291913186,7.83241698085108,-8.13087377209211,4.94996784787955e-07,0.000462336311527328,6.53751859990552
"GI_32454743-S","GI_32454743-S","NM_014574","29966","STRN3","striatin 3",0.550649274108672,9.346326226269,8.10002176909622,5.19871633851353e-07,0.000462336311527328,6.49212779316969
"GI_41281452-S","GI_41281452-S","NM_014720","9748","SLK","STE20 like kinase",0.416819149897282,7.47849322904723,8.08665322972625,5.31054420680048e-07,0.000462336311527328,6.47241631899463
"GI_27262623-I","GI_27262623-I","NM_018672","23461","ABCA5","ATP binding cassette subfamily A member 5",0.430973344127298,7.23438196147919,8.06610253327684,5.48739996867409e-07,0.000462336311527328,6.44206408964152
"GI_33239442-I","GI_33239442-I","NM_182715","6856","SYPL1","synaptophysin like 1",0.455909941212614,6.76671699181383,7.86190309646982,7.6207288996682e-07,0.000572172894705223,6.13710282834571
"GI_7706422-S","GI_7706422-S","NM_016199","51690","LSM7","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated",-0.537836890171661,9.22693517519357,-7.8529232850123,7.73253050642343e-07,0.000572172894705223,6.12355061684519
"GI_32698729-S","GI_32698729-S","NM_020772","57532","NUFIP2","nuclear FMR1 interacting protein 2",0.439929450643592,6.79884205072082,7.83413237641928,7.97208547427095e-07,0.000572172894705223,6.09515290389861
"GI_16554613-S","GI_16554613-S","NM_015969","51373","MRPS17","mitochondrial ribosomal protein S17",-0.404121961825531,9.82218332639317,-7.81706723495661,8.19638540092157e-07,0.000572172894705223,6.06931780123697
"GI_34222128-S","GI_34222128-S","NM_006751","6744","ITPRID2","ITPR interacting domain containing 2",0.618984202090433,6.75835565221222,7.81508741944846,8.22283269766778e-07,0.000572172894705223,6.06631773406767
"GI_7656882-S","GI_7656882-S","NM_014476","27295","PDLIM3","PDZ and LIM domain 3",0.404123298417348,13.4021479148858,7.79554131493653,8.48879226603861e-07,0.000572172894705223,6.03666769766886
"GI_31742479-I","GI_31742479-I","NM_003404","7529","YWHAB","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta",0.387239807137394,6.54673001078726,7.77261044188035,8.81234566368395e-07,0.000574820779565655,6.00181067509463
"GI_21314759-S","GI_21314759-S","NM_032792","84878","ZBTB45","zinc finger and BTB domain containing 45",-0.436566291534485,7.75327012474339,-7.61721916281232,1.13751784641177e-06,0.000698191151842941,5.7635299472634
"GI_34147483-S","GI_34147483-S","NM_133375","115752","DIS3L","DIS3 like exosome 3'-5' exoribonuclease",-0.394338885527336,8.76812999360232,-7.61620585704761,1.13942475697627e-06,0.000698191151842941,5.76196422876377
"GI_18152784-S","GI_18152784-S","NM_080748","140823","ROMO1","reactive oxygen species modulator 1",-0.440997589415929,11.5746661046181,-7.53359870371937,1.30672371609867e-06,0.000770161920618906,5.63380247002548
"GI_4826733-S","GI_4826733-S","NM_004960","2521","FUS","FUS RNA binding protein",-0.44103915845222,9.53130939131574,-7.52161482600195,1.3330531240622e-06,0.000770161920618906,5.61512438227222
"GI_33519464-S","GI_33519464-S","NM_014222","4702","NDUFA8","NADH:ubiquinone oxidoreductase subunit A8",-0.38783859366718,10.792973328753,-7.48842043610501,1.40892530350036e-06,0.000778272464602563,5.56327410755798
"GI_7661625-S","GI_7661625-S","NM_015640","26135","SERBP1","SERPINE1 mRNA binding protein 1",0.599812412315838,10.8508251802646,7.47533501654934,1.44006528917146e-06,0.000778272464602563,5.54278857197301
"GI_8922103-S","GI_8922103-S","NM_018459",NA,NA,NA,0.387672531443154,6.77175867752386,7.46606692954131,1.46255643414754e-06,0.000778272464602563,5.52826345874741
"GI_4503894-S","GI_4503894-S","NM_000154","2584","GALK1","galactokinase 1",-0.405369066794727,8.34852690488578,-7.38549022762864,1.67430572569956e-06,0.000829614634297637,5.40143261300959
"GI_16519564-I","GI_16519564-I","NM_001959","1933","EEF1B2","eukaryotic translation elongation factor 1 beta 2",0.53242546513107,8.28732759781398,7.33216238508131,1.83190991074404e-06,0.000829614634297637,5.31694926510814
"GI_28372544-S","GI_28372544-S","NM_174925",NA,NA,NA,-0.433552793699556,10.8039787171743,-7.32131667116577,1.86582131256992e-06,0.000829614634297637,5.29971414461735
"GI_31377721-S","GI_31377721-S","NM_022121","64065","PERP","p53 apoptosis effector related to PMP22",0.421852919546511,6.57603938134245,7.31498321949681,1.88592741995166e-06,0.000829614634297637,5.28964123933085
"GI_12751474-S","GI_12751474-S","NM_012319","25800","SLC39A6","solute carrier family 39 member 6",0.383385125207694,6.86681463034498,7.30776667802291,1.90911362233335e-06,0.000829614634297637,5.27815637837331
"GI_7705629-S","GI_7705629-S","NM_016067","51023","MRPS18C","mitochondrial ribosomal protein S18C",-0.44835557343777,10.3165215196291,-7.28489836835018,1.98457845766062e-06,0.000829614634297637,5.24170976253647
"GI_33239373-S","GI_33239373-S","NM_152902","261726","TIPRL","TOR signaling pathway regulator",0.500712850111215,7.22366758913484,7.27189777963128,2.02886567750099e-06,0.000829614634297637,5.22095430275711
"GI_7662391-S","GI_7662391-S","NM_014912","22849","CPEB3","cytoplasmic polyadenylation element binding protein 3",0.415049422785021,9.38780181663022,7.26707649981407,2.0455514160446e-06,0.000829614634297637,5.21325055342617
"GI_33186853-S","GI_33186853-S","NM_144678","146691","TOM1L2","target of myb1 like 2 membrane trafficking protein",-0.424816669669475,7.64626222923879,-7.26588182795061,2.04970815400464e-06,0.000829614634297637,5.21134108072862
"GI_6912283-S","GI_6912283-S","NM_012113","23632","CA14","carbonic anhydrase 14",-0.522358639253198,7.67907745112058,-7.25668024838734,2.08202177581373e-06,0.000829614634297637,5.19662665918287
"GI_10092638-S","GI_10092638-S","NM_016441","51232","CRIM1","cysteine rich transmembrane BMP regulator 1",0.483219884324593,7.29205126341823,7.25110197229761,2.10187036486372e-06,0.000829614634297637,5.18770002473046
"GI_21361533-S","GI_21361533-S","NM_015932","51371","POMP","proteasome maturation protein",-0.376942508648758,12.0693704001112,-7.24620290762019,2.11946546573591e-06,0.000829614634297637,5.17985637080473
"GI_34222303-S","GI_34222303-S","NM_004753","9249","DHRS3","dehydrogenase/reductase 3",-0.357954259299573,9.10053417056475,-7.24360016993066,2.12887587023645e-06,0.000829614634297637,5.17568776006587
"GI_34304320-A","GI_34304320-A","NM_031901","54460","MRPS21","mitochondrial ribosomal protein S21",-0.473766161106207,10.1757146158113,-7.24234663328778,2.1334237170999e-06,0.000829614634297637,5.17367969401151
"GI_16950596-A","GI_16950596-A","NM_053035","51650","MRPS33","mitochondrial ribosomal protein S33",-0.364518649549741,10.5942176273344,-7.18882872134516,2.33738273165024e-06,0.000891777664466027,5.08772377290667
"GI_5729815-S","GI_5729815-S","NM_006561","10659","CELF2","CUGBP Elav-like family member 2",0.424454685695348,8.12967684088357,7.16406550296178,2.43856279603703e-06,0.000913151449975276,5.04780261416194
"GI_19115957-A","GI_19115957-A","NM_130849","55630","SLC39A4","solute carrier family 39 member 4",-0.372484227486405,7.53739653054101,-7.15213067465481,2.48895317153557e-06,0.000915074946938559,5.02852869454177
"GI_42716294-S","GI_42716294-S","NM_032288","84248","FYTTD1","forty-two-three domain containing 1",0.546522356316707,8.7978199394154,7.05520139445992,2.94081136462968e-06,0.00106189547507459,4.87118404733076
"GI_18104972-A","GI_18104972-A","NM_080392","8073","PTP4A2","protein tyrosine phosphatase 4A2",0.620357120812663,8.35635926826806,7.00686893215101,3.1974178574426e-06,0.00113429800869029,4.79218625224635
"GI_21327694-I","GI_21327694-I","NM_139264","92949","ADAMTSL1","ADAMTS like 1",-0.441752995841516,6.45507347748132,-6.96943624270433,3.41218432241337e-06,0.0011880325110387,4.73075650379402
"GI_23943913-S","GI_23943913-S","NM_017580","54764","ZRANB1","zinc finger RANBP2-type containing 1",0.49852083604287,8.37860249501287,6.95870869002858,3.4764725216826e-06,0.0011880325110387,4.71311199938148
"GI_27735098-I","GI_27735098-I","NM_173497","143279","HECTD2","HECT domain E3 ubiquitin protein ligase 2",0.342694288480475,6.4071243230069,6.9507238933208,3.52514468435399e-06,0.0011880325110387,4.69996721725415
"GI_4503770-S","GI_4503770-S","NM_002027","2339","FNTA","farnesyltransferase, CAAX box, alpha",0.343090373559537,10.3546934800983,6.93225498250626,3.64047151680745e-06,0.00120003430107323,4.66952554071712
"GI_34147581-S","GI_34147581-S","NM_006821","10965","ACOT2","acyl-CoA thioesterase 2",-0.401912283568061,9.17920795898446,-6.92615095359323,3.67944842819544e-06,0.00120003430107323,4.65945291106367
"GI_41222827-S","GI_41222827-S","XM_371066",NA,NA,NA,0.375120172836655,6.57636211934004,6.89424896445026,3.89037042912651e-06,0.00124868540392646,4.60671597561306
"GI_5453639-S","GI_5453639-S","NM_006304","7979","SEM1","SEM1 26S proteasome complex subunit",-0.388250875619313,11.3072507105346,-6.88065182374756,3.98407188418113e-06,0.00125246176707204,4.58419091757571
"GI_26892294-S","GI_26892294-S","NM_172250","166785","MMAA","metabolism of cobalamin associated A",0.364380021668572,6.29964610231962,6.87136106813376,4.04945011249457e-06,0.00125246176707204,4.56878341988055
"GI_23510339-A","GI_23510339-A","NM_153280","7317","UBA1","ubiquitin like modifier activating enzyme 1",-0.365382576571207,9.50278046710054,-6.86596266221888,4.0879519621559e-06,0.00125246176707204,4.55982475352667
"GI_31652223-A","GI_31652223-A","NM_181513","219927","MRPL21","mitochondrial ribosomal protein L21",-0.412604965824833,11.6547435669408,-6.85357167797635,4.17777825503706e-06,0.00125253548946225,4.53924487691429
"GI_37541800-S","GI_37541800-S","XM_064152",NA,NA,NA,0.338690905414246,6.72135169021282,6.84891358791348,4.21207721099019e-06,0.00125253548946225,4.53150224213848
"GI_8922643-I","GI_8922643-I","NM_018205","55222","LRRC20","leucine rich repeat containing 20",0.370378403443692,6.61966269733503,6.77699287404876,4.78063678057223e-06,0.00140100371507175,4.41153115492476
"GI_12707561-I","GI_12707561-I","NM_022817","8864","PER2","period circadian regulator 2",0.619807628950543,8.39089934075385,6.76491684895193,4.88369965884905e-06,0.00141076129716552,4.39130880843226
"GI_4826689-S","GI_4826689-S","NM_004941","1659","DHX8","DEAH-box helicase 8",-0.439425800436125,7.34152815519537,-6.73845628372976,5.11771859606554e-06,0.00144504403417368,4.34691958822738
"GI_41393581-S","GI_41393581-S","NM_016215","51162","EGFL7","EGF like domain multiple 7",-0.439563182423433,8.3582344060077,-6.72766543418068,5.21648601941837e-06,0.00144504403417368,4.32878624585917
"GI_39725663-S","GI_39725663-S","NM_015698","27238","GPKOW","G-patch domain and KOW motifs",-0.369403894100834,8.77385177797743,-6.71872410159585,5.29983144403615e-06,0.00144504403417368,4.31374728107757
"GI_19913429-S","GI_19913429-S","NM_001685","522","ATP5PF","ATP synthase peripheral stalk subunit F6",-0.405163048333391,12.6842381396901,-6.71517796535364,5.33327004012075e-06,0.00144504403417368,4.30777940326272
"GI_31542857-S","GI_31542857-S","NM_023915","53836","GPR87","G protein-coupled receptor 87",-0.37070949359947,6.36007015644199,-6.70702959711888,5.41094259631684e-06,0.00144504403417368,4.29405896361403
"GI_21735607-I","GI_21735607-I","NM_004891","9553","MRPL33","mitochondrial ribosomal protein L33",-0.404304779002096,11.373734960729,-6.70492938739507,5.43115308823499e-06,0.00144504403417368,4.29052091318002
"GI_27754193-S","GI_27754193-S","NM_173713",NA,NA,NA,-0.432276899179776,12.7336312289229,-6.68640638638033,5.61284903652006e-06,0.00147399247230483,4.25928725562855
"GI_38505169-S","GI_38505169-S","NM_006909","5924","RASGRF2","Ras protein specific guanine nucleotide releasing factor 2",-0.35019213860754,6.67435307753568,-6.65079398285378,5.98022089924385e-06,0.00152245131368125,4.1990885189394
"GI_19923412-S","GI_19923412-S","NM_013396","29761","USP25","ubiquitin specific peptidase 25",0.494909722174094,7.77349753008798,6.64866307765926,6.00298330918408e-06,0.00152245131368125,4.19548025976914
"GI_21361723-S","GI_21361723-S","NM_018698","55916","NXT2","nuclear transport factor 2 like export factor 2",0.418952962671803,6.59374345565123,6.64677304292498,6.02324836034321e-06,0.00152245131368125,4.19227928000668
"GI_34147641-S","GI_34147641-S","NM_024321","79171","RBM42","RNA binding motif protein 42",-0.32492820700754,8.6183144755152,-6.63323160025957,6.17054361800531e-06,0.00154042669752698,4.16932925283991
"GI_4501900-S","GI_4501900-S","NM_000666","95","ACY1","aminoacylase 1",-0.332501999007181,7.76744624040046,-6.5931152608265,6.62936360828777e-06,0.00162066604749716,4.10117411541006
"GI_7705703-S","GI_7705703-S","NM_015917","373156","GSTK1","glutathione S-transferase kappa 1",-0.413273980988,10.0701558826032,-6.59119016102355,6.65225666100908e-06,0.00162066604749716,4.0978972524893
"GI_24475985-S","GI_24475985-S","NM_016498","51537","MTFP1","mitochondrial fission process 1",-0.477954006423799,8.21501819439227,-6.57637685746342,6.83119591901854e-06,0.00164444776998183,4.07266326107546
"GI_23463288-S","GI_23463288-S","NM_153291",NA,NA,NA,0.410944263974478,7.62180242615472,6.48434902582276,8.06131544225833e-06,0.00191773952421066,3.91513960752425
"GI_27479430-S","GI_27479430-S","XM_050793",NA,NA,NA,0.360827901967497,10.0861622448811,6.47352179128077,8.22052100583622e-06,0.00193287389836063,3.89652099970851
"GI_18378734-S","GI_18378734-S","NM_014810","9857","CEP350","centrosomal protein 350",0.514278551290154,8.44127127939477,6.41518082196867,9.13661292172704e-06,0.00210381111281788,3.79588739790796
"GI_20149527-S","GI_20149527-S","NM_003978","9051","PSTPIP1","proline-serine-threonine phosphatase interacting protein 1",-0.356165591464137,6.70610654881474,-6.4140371224024,9.15559952168405e-06,0.00210381111281788,3.79390938433912
"GI_30089944-A","GI_30089944-A","NM_178044","79008","SLX1B","SLX1 homolog B, structure-specific endonuclease subunit",-0.424352863547863,8.9251239189857,-6.4066190620753,9.27974899853911e-06,0.00210837982583662,3.78107507476807
"GI_4826853-S","GI_4826853-S","NM_005004","4714","NDUFB8","NADH:ubiquinone oxidoreductase subunit B8",-0.389740949323881,11.0321012213746,-6.38874032723006,9.58622942678558e-06,0.00215381272487812,3.7501076252725
"GI_20302159-S","GI_20302159-S","NM_005999","7257","TSNAX","translin associated factor X",0.451310080600578,8.56428608999491,6.37998316010922,9.74017491489161e-06,0.00216435249400026,3.73492161369118
"GI_23199972-I","GI_23199972-I","NM_004906","9589","WTAP","WT1 associated protein",0.507883122226365,7.69403779692545,6.36831044285509,9.94938744856426e-06,0.00218681047388498,3.71466141454655
"GI_21389514-S","GI_21389514-S","NM_144726","153830","RNF145","ring finger protein 145",0.39614533615083,6.79508667639755,6.35036271579056,1.02802436474791e-05,0.00220267402175224,3.68346906415856
"GI_32481215-I","GI_32481215-I","NM_006348","10466","COG5","component of oligomeric golgi complex 5",0.381174061794384,6.85428603460689,6.34730200376966,1.03377999255135e-05,0.00220267402175224,3.67814476383571
"GI_9945313-S","GI_9945313-S","NM_001967","1974","EIF4A2","eukaryotic translation initiation factor 4A2",0.384873467453103,12.1017858195159,6.3392875399417,1.04901059608268e-05,0.00220267402175224,3.66419631450495
"GI_30157519-S","GI_30157519-S","XM_066701",NA,NA,NA,0.36470954836567,6.19856003086564,6.33735510421005,1.0527178159921e-05,0.00220267402175224,3.66083161538108
"GI_24497483-S","GI_24497483-S","NM_018484","55867","SLC22A11","solute carrier family 22 member 11",-0.355630217116163,6.62726573453982,-6.33363529196063,1.05989242287125e-05,0.00220267402175224,3.65435318281751
"GI_37059728-S","GI_37059728-S","NM_032758","84844","PHF5A","PHD finger protein 5A",0.495179619113499,8.74093931633132,6.32732686623186,1.0721764390921e-05,0.00220267402175224,3.64336158124804
"GI_37545370-S","GI_37545370-S","XM_292193",NA,NA,NA,0.314806099780546,6.3931816871166,6.32415575657113,1.07840724075699e-05,0.00220267402175224,3.63783404328109
"GI_18105034-S","GI_18105034-S","NM_001864","1346","COX7A1","cytochrome c oxidase subunit 7A1",-0.327754710836974,14.2110869769938,-6.30688523516296,1.11300954047237e-05,0.00224477317584658,3.60770296300641
"GI_21536484-S","GI_21536484-S","NM_003325","7290","HIRA","histone cell cycle regulator",0.298397258860661,6.4158792961063,6.30286885188599,1.12122096217054e-05,0.00224477317584658,3.60068923822475
"GI_8922412-S","GI_8922412-S","NM_018089","55139","ANKZF1","ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1",-0.409817806265984,9.1807272908469,-6.29642087611671,1.13453586670985e-05,0.00224916174124901,3.58942412685785
"GI_7662141-S","GI_7662141-S","NM_014812","9859","CEP170","centrosomal protein 170",0.45819773810635,7.44426571292865,6.27773170724867,1.17406640123728e-05,0.0023049317183902,3.55673687982029
"GI_32698754-S","GI_32698754-S","NM_030627","80315","CPEB4","cytoplasmic polyadenylation element binding protein 4",0.406366310852787,7.07173579564247,6.25444690628692,1.22533200521867e-05,0.00238029661191127,3.51593743294044
"GI_15890083-S","GI_15890083-S","NM_000092","1286","COL4A4","collagen type IV alpha 4 chain",0.357155329929292,6.62825578967781,6.24972995996176,1.23599794397252e-05,0.00238029661191127,3.50766238178703
"GI_34222115-S","GI_34222115-S","NM_020755","57515","SERINC1","serine incorporator 1",0.32939077167531,9.9746219388916,6.23907103036849,1.26045720822458e-05,0.00238217482323336,3.48895070180046
"GI_19923537-S","GI_19923537-S","NM_017599","55591","VEZT","vezatin, adherens junctions transmembrane protein",0.395521368123832,8.98050174487424,6.2319698299179,1.27703157370246e-05,0.00238217482323336,3.4764750029585
"GI_16753214-I","GI_16753214-I","NM_053024","5217","PFN2","profilin 2",0.475549509055582,6.99004852454207,6.22626364438324,1.29051419305024e-05,0.00238217482323336,3.46644457358371
"GI_22027613-A","GI_22027613-A","NM_145718",NA,NA,NA,-0.410119837778121,7.89730965420359,-6.22485176771942,1.29387298625877e-05,0.00238217482323336,3.46396198944203
"GI_18490988-S","GI_18490988-S","NM_015920","51065","RPS27L","ribosomal protein S27 like",-0.315445361374886,11.8790069090567,-6.2238959138007,1.29615208317879e-05,0.00238217482323336,3.46228108448094
"GI_37564886-S","GI_37564886-S","XM_104657",NA,NA,NA,-0.334608861078075,6.86127370433118,-6.2157098445223,1.3158424803406e-05,0.00238217482323336,3.44787989166344
"GI_37551092-S","GI_37551092-S","XM_351668",NA,NA,NA,-0.339918316467077,7.62707852553095,-6.21422876863265,1.31943810989633e-05,0.00238217482323336,3.44527324893544
"GI_13775237-S","GI_13775237-S","NM_031310","83483","PLVAP","plasmalemma vesicle associated protein",-0.592690835750103,9.38163884913986,-6.20817963879116,1.33423013194585e-05,0.00238756349540504,3.43462353091948
"GI_13027633-S","GI_13027633-S","NM_005586","4188","MDFI","MyoD family inhibitor",0.28966754061992,6.40755363828531,6.19701849010897,1.36197718159224e-05,0.00241583689376988,3.41495934120261
"GI_5729764-S","GI_5729764-S","NM_006568","10668","CGRRF1","cell growth regulator with ring finger domain 1",0.307512780654232,8.80331269385893,6.19104951062244,1.37706199141095e-05,0.00241714252767766,3.40443518452925
"GI_33519465-S","GI_33519465-S","NM_004546","4708","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2",-0.358339298749947,12.4270364180708,-6.18709326142682,1.38715590653043e-05,0.00241714252767766,3.39745678063838
"GI_12232428-S","GI_12232428-S","NM_022759","64772","ENGASE","endo-beta-N-acetylglucosaminidase",-0.393167833315713,8.5554282647395,-6.18265389114428,1.39857413450515e-05,0.00241714252767766,3.38962337863464
"GI_38570104-S","GI_38570104-S","NM_017805","54922","RASIP1","Ras interacting protein 1",-0.380430202059021,9.36806834541896,-6.17634956402758,1.41495734932102e-05,0.00242473326784918,3.37849407460207
"GI_11968044-S","GI_11968044-S","NM_022489","64423","INF2","inverted formin 2",-0.400059035452898,9.07527243856349,-6.15967919915057,1.45924790721362e-05,0.00244842540295087,3.34903616351121
"GI_23111056-S","GI_23111056-S","NM_016224","51429","SNX9","sorting nexin 9",0.299149805506119,6.28018879171822,6.15967279857581,1.45926518670473e-05,0.00244842540295087,3.34902484509278
"GI_12597650-S","GI_12597650-S","NM_022907",NA,NA,NA,0.309808343878338,6.27468816502346,6.15484408930687,1.4723619745835e-05,0.00244842540295087,3.34048426050958
"GI_38348321-S","GI_38348321-S","NM_198507","345757","FAM174A","family with sequence similarity 174 member A",0.35739536265177,8.33126695794725,6.15306568052741,1.47721625616936e-05,0.00244842540295087,3.3373378835545
"GI_4503608-S","GI_4503608-S","NM_001985","2109","ETFB","electron transfer flavoprotein subunit beta",-0.432406022655089,10.5775485219084,-6.14741159136839,1.49276032467787e-05,0.00245407370124482,3.32733144197813
"GI_40805830-S","GI_40805830-S","NM_004060","900","CCNG1","cyclin G1",0.613501155223683,8.34167522215604,6.14041650536357,1.51222670652251e-05,0.00246602711553159,3.31494505935242
"GI_27479422-S","GI_27479422-S","XM_058661",NA,NA,NA,0.456879078540006,7.53120139956968,6.12214251079276,1.56433632036448e-05,0.00253059557872721,3.28255196213098
"GI_38788352-S","GI_38788352-S","NM_006402","10542","LAMTOR5","late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",-0.320877557419188,11.911319340436,-6.09550286785029,1.64366906400148e-05,0.00263782794787094,3.23523944753718
"GI_18641367-A","GI_18641367-A","NM_130439","4601","MXI1","MAX interactor 1, dimerization protein",0.315393341733977,7.76443708318491,6.08898873762734,1.66369715016222e-05,0.00264894646247483,3.22365397164099
"GI_26787975-S","GI_26787975-S","NM_001560","3597","IL13RA1","interleukin 13 receptor subunit alpha 1",0.348868727611176,9.0791736238961,6.08471802184651,1.67696524926972e-05,0.00264921205511587,3.21605497786824
"GI_23346419-S","GI_23346419-S","NM_006165","4798","NFRKB","nuclear factor related to kappaB binding protein",0.328165038783596,6.34846397239006,6.07397672827805,1.71082432425925e-05,0.00266277577275881,3.19693060249871
"GI_38261966-S","GI_38261966-S","NM_080928","142685","ASB15","ankyrin repeat and SOCS box containing 15",0.389914602927225,6.62736486341701,6.07364291637101,1.71188789109661e-05,0.00266277577275881,3.19633598817998
"GI_29743323-S","GI_29743323-S","XM_293276",NA,NA,NA,0.60247352372213,10.9756540562949,6.0320150727958,1.85005721561866e-05,0.00284790124640627,3.12205391594672
"GI_24308140-S","GI_24308140-S","NM_019072","54557","SGTB","small glutamine rich tetratricopeptide repeat containing beta",-0.353849550485436,6.32283075322359,-6.02683732251985,1.86803588049729e-05,0.00284790124640627,3.11279642247676
"GI_4503834-S","GI_4503834-S","NM_003508","8326","FZD9","frizzled class receptor 9",-0.313349337249285,8.54855264759744,-6.02537223969183,1.87315595555133e-05,0.00284790124640627,3.11017621837012
"GI_24307888-S","GI_24307888-S","NM_005153","9100","USP10","ubiquitin specific peptidase 10",0.363612659440314,8.34392382822185,6.01688932017529,1.90308949232152e-05,0.00285829041985835,3.09499876903128
"GI_7019548-S","GI_7019548-S","NM_013351","30009","TBX21","T-box transcription factor 21",0.318563204575958,6.22184528046793,6.01543815645184,1.90825976302298e-05,0.00285829041985835,3.0924013024736
"GI_18426899-A","GI_18426899-A","NM_080426","2778","GNAS","GNAS complex locus",0.305666350849156,12.4964679103614,6.00336442487934,1.95184646745803e-05,0.00290207995724035,3.0707781018374
"GI_16933560-S","GI_16933560-S","NM_005086","8082","SSPN","sarcospan",0.507520898761089,6.63963323161648,5.99341410299525,1.98854448696617e-05,0.00292434160490381,3.05294143099806
"GI_15011920-S","GI_15011920-S","NM_018648","55505","NOP10","NOP10 ribonucleoprotein",-0.443987446205584,10.3196595783409,-5.99148474944874,1.99574274999617e-05,0.00292434160490381,3.0494812170639
